code_spygen;code_explo;rep;date;station;site;region;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth;temperature;turbidity;habitat;habitat_type;filter;data_manager;gps_owner;comment;longitude_start_clean;latitude_start_clean;dist_to_coast..m.;dist_to_CT
SPY180975;LENG025;2;03/11/2017;LENG025;triton_bay;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;18:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.12033;-3.79458;481;-279.35
SPY180981;LENG027;1;04/11/2017;LENG027;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.16254;-3.77903;110;-278.52
SPY181046;LENG027;2;04/11/2017;LENG027;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.16254;-3.77903;110;-278.52
SPY181041;LENG028;1;04/11/2017;LENG028;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:00;NA;NA;2;50;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.09264;-3.8319;1060;-282.9
SPY180989;LENG028;2;04/11/2017;LENG028;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:00;NA;NA;2;50;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.09264;-3.8319;1060;-282.9
SPY180999;LENG029;1;04/11/2017;LENG029;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.09264;-3.8319;1060;-282.9
SPY180993;LENG029;2;04/11/2017;LENG029;lobo;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:00;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.09264;-3.8319;1060;-282.9
SPY181033;LENG030;1;07/11/2017;LENG030;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:45;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
SPY181031;LENG030;2;07/11/2017;LENG030;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;09:45;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
SPY181061;LENG031;1;07/11/2017;LENG031;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:00;NA;NA;2;93;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
