"","station","lat","long","site35","site30","site25","site20","site10","site5"
"285","LENG025",-3.79458,134.12033,"site45","site45","site48","site52","site70","site92"
"286","LENG026",-3.77847,134.1613,"site45","site45","site48","site52","site71","site93"
"287","LENG027",-3.77903,134.16254,"site45","site45","site48","site52","site71","site93"
"288","LENG028",-3.8319,134.09264,"site45","site45","site48","site52","site70","site94"
"289","LENG029",-3.8319,134.09264,"site45","site45","site48","site52","site70","site94"
"290","LENG030",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"291","LENG031",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"292","LENG032",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"293","LENG033",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"294","LENG034",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"295","LENG035",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"296","LENG036",-3.93996,134.74069,"site47","site47","site51","site55","site74","site97"
"297","LENG036",-3.94102,134.74156,"site47","site47","site51","site55","site74","site97"
"298","LENG037",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"299","LENG038",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"300","LENG039",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"301","LENG040",-3.77537,134.20151,"site45","site45","site48","site52","site71","site93"
"302","LENG041",-4.06772,133.03728,"site43","site43","site46","site49","site65","site87"
"303","LENG042",-4.06683,133.03258,"site43","site43","site46","site49","site65","site87"
"304","LENG043",-4.06683,133.03258,"site43","site43","site46","site49","site65","site87"
"305","LENG044",-4.06837,133.03748,"site43","site43","site46","site49","site65","site87"
"306","LENG045",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"307","LENG046",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"308","LENG047",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"309","LENG048",-3.93424,132.78685,"site48","site48","site52","site56","site75","site99"
"310","LENG049",-3.93543,132.76505,"site48","site48","site52","site56","site75","site100"
"311","LENG050",-3.92841,132.82257,"site48","site48","site52","site56","site75","site99"
"312","LENG051",-3.22096,133.67038,"site49","site49","site53","site57","site76","site101"
"313","LENG052",-3.30699,133.66507,"site49","site49","site53","site57","site76","site102"
"314","LENG053",-2.99063,131.93184,"site50","site50","site54","site58","site77","site103"
"315","LENG054",-3.00112,131.93817,"site50","site50","site54","site58","site77","site103"
"316","LENG055",-2.65144,131.60634,"site51","site51","site55","site59","site78","site104"
"317","LENG056",-2.67144,131.59814,"site51","site51","site55","site59","site78","site104"
"318","LENG057",-0.95288,130.60258,"site52","site52","site56","site60","site79","site105"
"319","LENG058",-0.95288,130.60258,"site52","site52","site56","site60","site79","site105"
"320","NOUMEA_BAIE",-22.22650001,166.368821,"site53","site53","site57","site61","site80","site106"
"321","NOUMEA_BAIE",-22.21940196,166.369674,"site53","site53","site57","site61","site80","site106"
"322","NOUMEA_BAIE",-22.22150599,166.379831,"site53","site53","site57","site61","site80","site106"
"323","NOUMEA_LAGON",-22.29461798,166.366385,"site53","site53","site57","site61","site80","site107"
"324","NOUMEA_LAGON",-22.29926499,166.36528,"site53","site53","site57","site61","site80","site107"
"325","NOUMEA_LAGON",-22.28809602,166.356277,"site53","site53","site57","site61","site80","site107"
"326","NOUMEA_FONDS_BLANCS",-22.28450504,166.221832,"site53","site53","site57","site62","site81","site108"
"327","NOUMEA_FONDS_BLANCS",-22.28308397,166.21072,"site53","site53","site57","site62","site81","site108"
"328","NOUMEA_FONDS_BLANCS",-22.27208901,166.201926,"site53","site53","site57","site62","site81","site108"
"329","NOUMEA_BARRIERE_EXTERNE",-22.35017097,166.233112,"site53","site53","site57","site62","site81","site109"
