"species_name","class_name"
"Pisodonophis_cancrivorus","Actinopteri"
"Xyrias_revulsus","Actinopteri"
"Muraenichthys_sp._CHW-2002","Actinopteri"
"Dysomma_anguillare","Actinopteri"
"Meadia_roseni","Actinopteri"
"Simenchelys_parasitica","Actinopteri"
"Nemichthys_scolopaceus","Actinopteri"
"Nessorhamphus_ingolfianus","Actinopteri"
"Serrivomer_samoensis","Actinopteri"
"Albula_glossodonta","Actinopteri"
"Notacanthus_abbotti","Actinopteri"
"Gonorynchus_abbreviatus","Actinopteri"
"Abudefduf_sordidus","Actinopteri"
"Aetoplatea_zonura","Chondrichthyes"
"Alopias_superciliosus","Chondrichthyes"
"Anoxypristis_cuspidata","Chondrichthyes"
"Chimaera_phantasma","Chondrichthyes"
"Neotrygon_kuhlii","Chondrichthyes"
"Dasyatis_thetidis","Chondrichthyes"
"Telatrygon_zugei","Chondrichthyes"
"Hexatrygon_taiwanensis","Chondrichthyes"
"Himantura_gerrardi","Chondrichthyes"
"Himantura_uarnak","Chondrichthyes"
"Hydrolagus_mitsukurii","Chondrichthyes"
"Isurus_oxyrinchus","Chondrichthyes"
"Narcine_timlei","Chondrichthyes"
"Narke_japonica","Chondrichthyes"
"Platyrhina_sinensis","Chondrichthyes"
"Plesiobatis_daviesi","Chondrichthyes"
"Potamotrygon_hystrix","Chondrichthyes"
"Potamotrygon_motoro","Chondrichthyes"
"Prionace_glauca","Chondrichthyes"
"Okamejei_acutispina","Chondrichthyes"
"Dipturus_kwangtungensis","Chondrichthyes"
"Rhina_ancylostoma","Chondrichthyes"
"Rhinobatos_hynnicephalus","Chondrichthyes"
"Rhinochimaera_africana","Chondrichthyes"
"Rhynchobatus_djiddensis","Chondrichthyes"
"Sphyrna_zygaena","Chondrichthyes"
"Taeniura_lymma","Chondrichthyes"
"Taeniura_meyeni","Chondrichthyes"
"Tetronarce_tokionis","Chondrichthyes"
"Urogymnus_asperrimus","Chondrichthyes"
"Urolophus_aurantiacus","Chondrichthyes"
"Sinobatis_borneensis","Chondrichthyes"
"Aphanius_transgrediens","Actinopteri"
"Aphanius_anatoliae","Actinopteri"
"Aphanius_danfordii","Actinopteri"
"Aphanius_villwocki","Actinopteri"
"Aphanius_asquamatus","Actinopteri"
"Aphanius_fasciatus","Actinopteri"
"Aphanius_sophiae","Actinopteri"
"Aphanius_vladykovi","Actinopteri"
